Engine.PowerAtShaftRelative,Engine.RPM,Engine.PowerAtShaft,Unnamed: 3,Consumptions_Parsed,Unnamed: 5,Unnamed: 6,Unnamed: 7,Engine.PowerAtShaft_uptd,Engine.PowerAtShaft_Imputed_5,Engine.PowerAtShaft_Imputed,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,,Consumptions_Parsed_NN,EngineRunningMinutes,Engine.RunningHours
63.95,77,4320,,26.8,,,,4320,4320,4320,,,,,,26.8,1440,24
,80.8,5400,,2,,,,3334.8325,3600.466,4113.11,,,,,,2,188.416964,3.14
0,80.8,5400,,5.1,,,,5019,4815.2,5189,,,,,,5.1,330.4267528,5.51
0,80.8,5400,,4.7,,,,4705,4815.2,4629.333333,,,,,,4.7,312.1029091,5.2
0,80.8,5400,,4.4,,,,4622,4372.6,4369.666667,,,,,,4.4,298.3600263,4.97
0,80.8,5400,,4.5,,,,4622,4684,4369.666667,,,,,,4.5,302.9409872,5.05
0,80.8,5400,,4.5,,,,4622,4684,4369.666667,,,,,,4.5,302.9409872,5.05
0,80.8,5400,,4.6,,,,4622,4684,4629.333333,,,,,,4.6,307.5219482,5.13
,80.8,5400,,7.2,,,,4749.75,4873.2,4621.666667,,,,,,7.2,426.6269323,7.11
,80.8,5400,,7.8,,,,4955.5,4873.2,5130,,,,,,7.8,454.1126979,7.57
,80.8,5400,,1.3,,,,3271.8325,3344.066,3322.443333,,,,,,1.3,156.3502375,2.61
66.72,77.4,4507,,26.7,,,,4507,4507,4507,,,,,,26.7,1404,23.4
68.88,77.4,4653,,28,,,,4653,4653,4653,,,,,,28,1440,24
66.87,78,4517,,28.5,,,,4517,4517,4517,,,,,,28.5,1440,24
67.27,77.4,4544,,27.4,,,,4544,4544,4544,,,,,,27.4,1440,24
66.81,78,4513,,28.3,,,,4513,4513,4513,,,,,,28.3,1440,24
66.63,77.3,4501,,27.5,,,,4501,4501,4501,,,,,,27.5,1440,24
66.62,77.9,4500,,28,,,,4500,4500,4500,,,,,,28,1440,24
68.33,76.9,4616,,27.5,,,,4616,4616,4616,,,,,,27.5,1440,24
68.54,77.4,4630,,28.8,,,,4630,4630,4630,,,,,,28.8,1440,24
71.28,77.3,4815,,28.1,,,,4815,4815,4815,,,,,,28.1,1440,24
70.04,78,4731,,25.3,,,,4731,4731,4731,,,,,,25.3,1266,21.1
0,80.8,5400,,1.4,,,,3271.8325,3344.066,3322.443333,,,,,,1.4,96,1.6
0,80.8,5400,,3.2,,,,4029.75,3898.8,3748.666667,,,,,,3.2,243.3884952,4.06
,80.8,5400,,5,,,,5019,4815.2,4940,,,,,,5,325.8457919,5.43
