Feature_Consumptions_Parsed_NN,Target_Engine_PowerAtShaft_NN
26.8,4320.0
26.7,4507.0
28.0,4653.0
28.5,4517.0
27.4,4544.0
28.3,4513.0
27.5,4501.0
28.0,4500.0
27.5,4616.0
28.8,4630.0
28.1,4815.0
25.3,4731.0
6.7,4432.0
25.8,4371.0
12.1,4537.0
4.8,4509.0
26.5,4438.0
28.2,5227.0
29.7,5988.0
28.5,5354.0
17.8,5320.0
24.7,6040.0
30.9,4801.0
29.4,4832.0
28.8,5508.0
30.7,5150.0
24.6,5418.0
29.3,4727.0
17.5,4870.0
6.6,4544.0
3.0,4663.0
29.0,4892.0
29.5,4917.0
29.0,4788.0
29.8,4821.0
28.3,4800.0
29.9,5092.0
29.4,4850.0
29.3,4921.0
30.0,5050.0
30.0,5029.0
30.0,5025.0
8.0,5134.0
5.8,4870.0
29.5,5441.0
30.1,5542.0
30.4,5200.0
28.8,5113.0
30.4,5172.0
29.8,5317.0
30.0,5350.0
29.8,5221.0
29.8,5288.0
29.8,5283.0
29.2,5058.0
29.7,5233.0
29.8,5333.0
29.6,5275.0
11.2,5438.0
13.6,4100.0
20.5,4000.0
24.5,5260.0
15.3,4750.0
23.5,5300.0
29.5,5250.0
30.0,5280.0
29.5,5308.0
29.5,5377.0
30.4,5440.0
29.4,5553.0
29.6,5427.0
29.6,5300.0
29.3,4500.0
29.0,5150.0
18.2,4500.0
10.8,5100.0
28.8,4745.0
28.9,5645.0
28.8,4722.0
30.2,5334.0
29.9,5306.0
16.2,5000.0
22.0,5908.0
29.8,5685.0
29.3,5625.0
28.9,5564.0
29.0,5488.0
28.6,5781.0
28.5,5745.0
28.5,6611.0
29.6,5933.0
29.2,6935.0
29.5,6115.0
29.3,5579.0
29.6,5821.0
29.5,5738.0
24.6,5073.0
12.0,5500.0
10.5,6000.0
4.5,4000.0
21.8,5287.0
29.6,7970.0
28.9,5408.0
29.6,5760.0
13.2,2240.0
12.9,1733.0
27.4,5858.0
28.6,5735.0
30.2,6013.0
30.1,5607.0
21.7,5929.0
29.8,5934.0
28.4,3967.0
27.0,5593.0
29.5,6250.0
29.5,5967.0
28.3,6090.0
29.6,5942.0
28.2,5688.0
28.5,5000.0
1.1,1000.0
11.1,5493.0
30.2,5505.0
29.9,5967.0
30.2,5757.0
30.2,6199.0
30.7,5821.0
29.5,5451.0
