FuelOilTypeIDCode,Amount
MGO,160.4
MDOLS,0
LSFO,0
MGOLS,0
HFO,1320.9
MDO,0
MDOLS,0
MGOLS,160.4
MDO,0
HFO,1318.9
MGO,0
LSFO,0
MDO,0
MGOLS,160.4
MDOLS,0
HFO,1313.8
LSFO,0
MGO,0
HFO,1309.3
LSFO,0
MGO,0
MGOLS,160.2
MDOLS,0
MDO,0
MDO,0
MDOLS,0
MGO,0
LSFO,0
HFO,1304.9
MGOLS,160.2
LSFO,0
MDOLS,0
MGO,0
MDO,0
MGOLS,160.2
HFO,1300.4
MGO,0
MGOLS,160.2
LSFO,0
MDO,0
HFO,1295.9
MDOLS,0
MGO,0
MGOLS,160.2
MDO,0
MDOLS,0
HFO,1291.3
LSFO,0
HFO,1284.1
MGOLS,160.2
MGO,0
MDOLS,0
MDO,0
LSFO,0
HFO,1276.3
MGOLS,160.2
MDOLS,0
MDO,0
MGO,0
LSFO,0
LSFO,0
HFO,1275.3
MGO,0
MGOLS,160.2
MDO,0
MDOLS,0
MGO,0
MGOLS,160.2
MDOLS,0
MDO,0
HFO,1248.6
LSFO,0
MGOLS,160.2
MDOLS,0
MGO,0
HFO,1220.6
MDO,0
LSFO,0
LSFO,0
MGO,0
MDO,0
HFO,1192.1
MGOLS,160.2
MDOLS,0
MDOLS,0
HFO,1164.7
MGO,0
MGOLS,160.2
LSFO,0
MDO,0
HFO,1136.4
MGO,0
LSFO,0
MGOLS,160.2
MDO,0
MDOLS,0
HFO,1108.9
MGOLS,160.2
LSFO,0
MDO,0
MDOLS,0
MGO,0
MDO,0
HFO,1080.9
MGO,0
LSFO,0
MGOLS,160.2
MDOLS,0
MGOLS,160.2
MGO,0
MDOLS,0
LSFO,0
HFO,1053.4
MDO,0
MDOLS,0
MGOLS,160.2
HFO,1024.6
MGO,0
MDO,0
LSFO,0
MDOLS,0
MGOLS,160.2
MGO,0
LSFO,0
MDO,0
HFO,996.5
LSFO,0
MGO,0
MDO,0
MGOLS,160.2
HFO,971.2
MDOLS,0
LSFO,0
MGO,0
MGOLS,160.2
MDOLS,0
MDO,0
HFO,969.8
MGO,0
MDO,0
MDOLS,0
MGOLS,160.2
HFO,966.6
LSFO,0
MDOLS,0
HFO,961.3
MDO,0
LSFO,0
MGOLS,160.2
MGO,0
MDOLS,0
MGOLS,160.2
MDO,0
MGO,0
LSFO,0
HFO,959.9
MDOLS,0
LSFO,0
MGOLS,160.2
MGO,0
HFO,958.6
MDO,0
HFO,949.1
MGO,0
MGOLS,160.2
MDOLS,0
LSFO,0
MDO,0
MDO,0
HFO,923.3
MDOLS,0
LSFO,0
MGOLS,160.2
MGO,0
MDOLS,0
HFO,911.2
MGOLS,160.2
LSFO,0
MGO,0
MDO,0
MGOLS,160.2
MDOLS,0
HFO,910.8
MGO,0
MDO,0
LSFO,0
MDO,0
LSFO,0
MGO,0
HFO,909.4
MGOLS,160.2
MDOLS,0
MGO,0
LSFO,0
HFO,903.9
MGOLS,160.2
MDO,0
MDOLS,0
MGO,0
LSFO,0
MGOLS,160.2
HFO,890.4
MDO,0
MDOLS,0
MDOLS,0
HFO,889.1
MGOLS,160.2
MDO,0
LSFO,0
MGO,0
MDO,0
HFO,885.9
MGO,0
MGOLS,160
LSFO,0
MDOLS,0
MGO,0
MDO,0
LSFO,0
MDOLS,0
MGOLS,160
HFO,882.6
MGOLS,159.7
MDO,0
HFO,879.4
MGO,0
MDOLS,0
LSFO,0
HFO,874
MGOLS,159.7
MDOLS,0
MGO,0
MDO,0
LSFO,0
MGOLS,154
MGO,0
HFO,874
LSFO,0
MDO,0
MDOLS,0
MGOLS,154
MGO,0
LSFO,0
HFO,861.7
MDO,0
MDOLS,0
MGO,0
MGOLS,154
LSFO,0
MDO,0
HFO,856.9
MDOLS,0
MGO,0
HFO,830.4
MGOLS,154
MDOLS,0
LSFO,0
MDO,0
MDOLS,0
LSFO,0
MDO,0
MGOLS,154
MGO,0
HFO,802.2
LSFO,0
MGOLS,154
HFO,772.5
MDOLS,0
MDO,0
MGO,0
MGOLS,154
MDO,0
LSFO,0
MGO,0
HFO,744
MDOLS,0
MDOLS,0
MGOLS,154
MGO,0
MDO,0
LSFO,0
HFO,726.2
MGO,0
LSFO,0
MDO,0
HFO,725.7
MGOLS,154
MDOLS,0
MDOLS,0
MGO,0
LSFO,0
MGOLS,154
MDO,0
HFO,724.9
MDO,0
MGOLS,154
MDOLS,0
MGO,0
HFO,724.1
LSFO,0
HFO,721.1
MDOLS,0
MDO,0
LSFO,0
MGO,0
MGOLS,154
MGOLS,154
HFO,717.4
MDOLS,0
MGO,0
MDO,0
LSFO,0
MDOLS,0
MGOLS,154
HFO,716.8
MGO,0
LSFO,0
MDO,0
MGOLS,154
MDO,0
MDOLS,0
HFO,708.6
LSFO,0
MGO,0
MGO,0
LSFO,0
MDO,0
HFO,708
MGOLS,154
MDOLS,0
MDOLS,0
MGOLS,154
HFO,1856.7
MDO,0
LSFO,0
MGO,0
MDOLS,0
MGOLS,154
LSFO,0
MDO,0
HFO,1855.4
MGO,0
LSFO,0
MGO,0
MDO,0
MGOLS,154
MDOLS,0
HFO,1830.7
MDOLS,0
MDO,0
MGOLS,154
MGO,0
LSFO,0
HFO,1799.8
MGOLS,154
LSFO,0
HFO,1770.4
MGO,0
MDO,0
MDOLS,0
MGO,0
LSFO,0
MGOLS,154
MDOLS,0
MDO,0
HFO,1741.6
HFO,1710.9
MGOLS,154
MGO,0
MDOLS,0
MDO,0
LSFO,0
MDO,0
MGO,0
HFO,1686.3
LSFO,0
MDOLS,0
MGOLS,154
MDOLS,0
LSFO,0
MDO,0
MGOLS,154
HFO,1657
MGO,0
MDOLS,0
MGO,0
LSFO,0
HFO,1639.5
MDO,0
MGOLS,154
HFO,1637.8
LSFO,0
MGOLS,154
MGO,0
MDO,0
MDOLS,0
HFO,1636.7
MGO,0
LSFO,0
MGOLS,154
MDOLS,0
MDO,0
MDOLS,0
MGO,0
LSFO,0
MGOLS,154
MDO,0
HFO,1632.6
MDO,0
MDOLS,0
MGOLS,154
MGO,0
LSFO,0
HFO,1629.1
HFO,1625.3
MDOLS,0
MGOLS,154
MDO,0
MGO,0
LSFO,0
